QUERY_ID,QUERY_TEXT,DATABASE_NAME,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,ROWS_PRODUCED,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,CREDITS_USED_CLOUD_SERVICES,LIST_EXTERNAL_FILE_TIME,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,IS_CLIENT_GENERATED_STATEMENT,QUERY_HASH,QUERY_HASH_VERSION,QUERY_PARAMETERIZED_HASH,QUERY_PARAMETERIZED_HASH_VERSION
01b1e85b-0001-9d31-0005-17860002067e,"select *
from table(information_schema.query_history()) where DATABASE_NAME = 'CITIBIKE'
order by start_time DESC;",CITIBIKE,PUBLIC,UNKNOWN,1433239176732870,SGELE,ACCOUNTADMIN,ANALYTICS_WH,,STANDARD,,,RUNNING,,,2024-01-25T06:51:41.39-08:00,1969-12-31T16:00:00-08:00,-1706194301390,0,0,18,0,0,0,0,0,,,0,,,0,0.000000000,0,8.3.1,0,0,0,0,0,FALSE,72ec329d4c90365bdd2fcd9af30284e3,2,8f81fc2d44735c134a9bca6f7c9f21f4,1
01b1e858-0001-9d98-0005-1786000285be,"select *
from table(information_schema.query_history())
order by start_time DESC;",CITIBIKE,PUBLIC,SELECT,1433239176732870,SGELE,ACCOUNTADMIN,ANALYTICS_WH,X-Large,STANDARD,1,,SUCCESS,,,2024-01-25T06:48:59.52-08:00,2024-01-25T06:48:59.89-08:00,370,11024,100,138,226,0,0,0,0,,,0,,,0,0.000046000,6,8.3.1,0,0,0,0,0,FALSE,0221b421d0b6a58ebfb3d285e29f8bf1,2,0221b421d0b6a58ebfb3d285e29f8bf1,1
01b1e858-0001-9d95-0005-17860002462a,"create table trips_dev clone trips


select *
from table(information_schema.query_history())
order by start_time DESC;",CITIBIKE,PUBLIC,UNKNOWN,1433239176732870,SGELE,ACCOUNTADMIN,ANALYTICS_WH,,STANDARD,,,FAILED_WITH_ERROR,1003,"SQL compilation error:
syntax error line 4 at position 0 unexpected 'select'.",2024-01-25T06:48:56.103-08:00,2024-01-25T06:48:56.128-08:00,25,0,0,25,0,0,0,0,0,,,0,,,0,0.000004000,0,8.3.1,0,0,0,0,0,FALSE,,0,,0
01b1e858-0001-9d95-0005-178600024626,"create table trips_dev clone trips

select *
from table(information_schema.query_history())
order by start_time DESC;",CITIBIKE,PUBLIC,UNKNOWN,1433239176732870,SGELE,ACCOUNTADMIN,ANALYTICS_WH,,STANDARD,,,FAILED_WITH_ERROR,1003,"SQL compilation error:
syntax error line 3 at position 0 unexpected 'select'.",2024-01-25T06:48:50.863-08:00,2024-01-25T06:48:50.909-08:00,46,0,0,46,0,0,0,0,0,,,0,,,0,0.000007000,0,8.3.1,0,0,0,0,0,FALSE,,0,,0
01b1e858-0001-9d84-0005-17860002a3d6,"select *
from table(information_schema.query_history())
order by start_time;",CITIBIKE,PUBLIC,SELECT,1433239176732870,SGELE,ACCOUNTADMIN,ANALYTICS_WH,X-Large,STANDARD,1,,SUCCESS,,,2024-01-25T06:48:35.374-08:00,2024-01-25T06:48:36.033-08:00,659,11072,100,194,460,0,0,0,0,,,0,,,0,0.000064000,5,8.3.1,0,0,0,0,0,FALSE,2880ea1578bc82ce6eac79d4a6804488,2,2880ea1578bc82ce6eac79d4a6804488,1
01b1e857-0001-9d31-0005-178600020676,"create table trips_dev clone trips
",CITIBIKE,PUBLIC,CREATE_TABLE,1433239176732870,SGELE,ACCOUNTADMIN,ANALYTICS_WH,,STANDARD,,,SUCCESS,,,2024-01-25T06:47:33.334-08:00,2024-01-25T06:47:34.324-08:00,990,0,0,71,919,0,0,0,0,,,0,,,0,0.000148000,0,8.3.1,0,0,0,0,0,FALSE,32a72540d9905c5888b5cfb85b4b77ca,2,32a72540d9905c5888b5cfb85b4b77ca,1
01b1e857-0001-9d98-0005-1786000285ba,"select
dayname(starttime) as ""day of week"", count(*) as ""num trips""
from trips
group by 1 order by 2 desc;",CITIBIKE,PUBLIC,SELECT,1433239176732870,SGELE,ACCOUNTADMIN,ANALYTICS_WH,X-Large,STANDARD,1,,SUCCESS,,,2024-01-25T06:47:17.339-08:00,2024-01-25T06:47:17.747-08:00,408,1295027200,7,46,362,0,0,0,0,,,0,,,0,0.000007000,0,8.3.1,0,0,0,0,0,FALSE,8a0cd8f0347abee23d55d9a55bfb09ec,2,8a0cd8f0347abee23d55d9a55bfb09ec,1
01b1e856-0001-9d95-0005-178600024616,"select date_trunc('hour', starttime) as ""date"",
count(*) as ""num trips"",
avg(tripduration)/60 as ""avg duration (mins)"",
avg(haversine(start_station_latitude, start_station_longitude, end_station_latitude,
end_station_longitude)) as ""avg distance (km)"" from trips 
group by 1 order by 1;",CITIBIKE,PUBLIC,SELECT,1433239176732870,SGELE,ACCOUNTADMIN,ANALYTICS_WH,,STANDARD,,,SUCCESS,,,2024-01-25T06:46:59.431-08:00,2024-01-25T06:46:59.729-08:00,298,0,44295,297,1,0,0,0,0,,,0,,,0,0.000045000,0,8.3.1,0,0,0,0,0,FALSE,d996e40c49924a9f5783b8bfd09639fb,2,d996e40c49924a9f5783b8bfd09639fb,1
01b1e856-0001-9e31-0005-17860002b4e2,"select date_trunc('hour', starttime) as ""date"",
count(*) as ""num trips"",
avg(tripduration)/60 as ""avg duration (mins)"",
avg(haversine(start_station_latitude, start_station_longitude, end_station_latitude,
end_station_longitude)) as ""avg distance (km)"" from trips
group by 1 order by 1;",CITIBIKE,PUBLIC,SELECT,1433239176732870,SGELE,ACCOUNTADMIN,ANALYTICS_WH,X-Large,STANDARD,1,,SUCCESS,,,2024-01-25T06:46:32.937-08:00,2024-01-25T06:46:34.474-08:00,1537,1295027200,44295,426,1111,0,0,0,0,,,0,,,0,0.000066000,0,8.3.1,0,0,0,0,0,FALSE,d996e40c49924a9f5783b8bfd09639fb,2,d996e40c49924a9f5783b8bfd09639fb,1
01b1e856-0001-9d98-0005-1786000285a6,select * from trips limit 20;,CITIBIKE,PUBLIC,SELECT,1433239176732870,SGELE,ACCOUNTADMIN,ANALYTICS_WH,X-Large,STANDARD,1,,SUCCESS,,,2024-01-25T06:46:09.713-08:00,2024-01-25T06:46:10.598-08:00,885,5056000,20,501,246,138,0,0,0,,,0,,,0,0.000077000,0,8.3.1,0,0,0,0,0,FALSE,76f2923e93267876aa0c95aaad6ed0ef,2,76f2923e93267876aa0c95aaad6ed0ef,1
